sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
11.803;145;;12s;Yes;No;4;0.38005;0.91500;0.00000;0.46869;2.83240;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.9149999999999999;0.380054083092503;0.7397288204863893;0.7976182750000002;0.9149999999999999;0.380054083092503;0.7397288204863893;0.7976182750000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.827;119;;12s;Yes;No;4;0.58678;0.90411;0.00000;0.19387;2.91875;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.7850000000000001;0.9041140069845697;0.5867808960841429;0.6428566;0.7850000000000001;0.9041140069845697;0.5867808960841429;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.923;128;;12s;Yes;No;4;0.58678;0.90411;0.00000;0.19387;2.91875;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.7850000000000001;0.9041140069845697;0.5867808960841429;0.6428566;0.7850000000000001;0.9041140069845697;0.5867808960841429;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.005;136;;12s;Yes;No;4;0.54762;0.89253;0.00000;0.26054;2.89630;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.7216666666666667;0.892528230487994;0.7344889447415774;0.5476186000000001;0.7216666666666667;0.892528230487994;0.7344889447415774;0.5476186000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.893;108;;12s;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.906;102;;12s;Yes;No;4;0.43512;0.93362;0.05358;0.53195;2.63707;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.6016666666666667;0.4351196678640872;0.9336194374465879;0.666666025;0.6016666666666667;0.4351196678640872;0.9336194374465879;0.666666025;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.756;103;;12s;Yes;No;4;0.54583;0.89266;0.00000;0.35870;2.96730;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.755;0.545828846037944;0.8926625450812115;0.773808775;0.755;0.545828846037944;0.8926625450812115;0.773808775;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;125;;12s;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.387;124;;12s;Yes;No;4;0.49465;0.97500;0.00000;0.38807;2.91530;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.338;119;;12s;Yes;No;4;0.39638;0.95792;0.00000;0.57518;2.88513;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.910;144;;12s;Yes;No;4;0.58417;0.91032;0.00000;0.37049;2.90901;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.7499993;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.7499993;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.738;122;;12s;Yes;No;4;0.43241;1.00000;0.00000;0.61429;2.64610;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.7261898;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.7261898;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;163;;12s;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;129;;12s;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.518;133;;12s;Yes;No;4;0.59524;0.95238;0.00000;0.24554;2.92092;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.7216666666666667;0.9523769815965673;0.6516396056070828;0.5952375999999999;0.7216666666666667;0.9523769815965673;0.6516396056070828;0.5952375999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
