sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
11.959;159;;12s;Yes;No;4;0.14979;0.88583;0.00000;0.69781;2.62970;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.8858333333333334;0.1497926275810349;0.7369366077045301;0.8571420250000001;0.8858333333333334;0.1497926275810349;0.7369366077045301;0.8571420250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.748;115;;12s;Yes;No;4;0.57143;0.83346;0.00000;0.25976;2.97284;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.7375;0.8304493940215574;0.8334609470044917;0.5714280250000001;0.7375;0.8304493940215574;0.8334609470044917;0.5714280250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.699;66;;12s;Yes;No;4;0.62639;0.88030;0.00000;0.13106;2.98217;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.7850000000000001;0.8803024977828533;0.6263910955366777;0.6904756000000001;0.7850000000000001;0.8803024977828533;0.6263910955366777;0.6904756000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.758;127;;12s;Yes;No;4;0.50167;0.79271;0.15283;0.42348;2.46808;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.5016666666666667;0.7927076723105986;0.6498954987048541;0.5238091;0.5016666666666667;0.7927076723105986;0.6498954987048541;0.5238091;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.739;113;;12s;Yes;No;4;0.61944;0.88095;0.00000;0.25220;3.05546;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.8024999999999999;0.6194362587094071;0.7525759478261815;0.8809516000000001;0.8024999999999999;0.6194362587094071;0.7525759478261815;0.8809516000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.737;104;;12s;Yes;No;4;0.59245;0.88507;0.00000;0.36694;2.97026;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.6475;0.5924466588418867;0.8850723850471213;0.8452373;0.6475;0.5924466588418867;0.8850723850471213;0.8452373;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;92;;12s;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.859;145;;12s;Yes;No;4;0.49720;0.92857;0.00000;0.38758;2.97734;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.085;144;;12s;Yes;No;4;0.49465;0.97500;0.00000;0.38807;2.91530;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.845;135;;12s;Yes;No;4;0.37187;0.95238;0.00000;0.59406;2.87205;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.842;176;;12s;Yes;No;4;0.67917;0.79762;0.00000;0.20058;2.99432;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.772;124;;12s;Yes;No;4;0.52083;0.92715;0.08443;0.45600;2.73123;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.5208333333333333;0.6284839007487437;0.9271532351644629;0.6547613000000001;0.5208333333333333;0.6284839007487437;0.9271532351644629;0.6547613000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.432;127;;12s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.932;154;;12s;Yes;No;4;0.50000;0.86811;0.00000;0.38238;2.81099;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.6266666666666667;0.8162157250865434;0.8681093397144823;0.49999955;0.6266666666666667;0.8162157250865434;0.8681093397144823;0.49999955;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.932;122;;12s;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.771;146;;12s;Yes;No;4;0.69048;0.82603;0.00000;0.17950;3.05002;AgentW@60;Group1@61;AgentBuyogMain@62;Atlas3@63;0.7533333333333334;0.7801784831796863;0.8260284895971407;0.6904755500000002;0.7533333333333334;0.7801784831796863;0.8260284895971407;0.6904755500000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;129;;12s;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;Group1@64;AgentBuyogMain@65;AgentW@66;Atlas3@67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;137;;12s;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@68;AgentBuyogMain@69;AgentW@70;Group1@71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.549;126;;12s;Yes;No;4;0.49465;0.97500;0.00000;0.38807;2.91530;AgentBuyogMain@72;Atlas3@73;AgentW@74;Group1@75;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;0.975;0.49464690002105177;0.6123211348649507;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.305;128;;12s;Yes;No;4;0.36097;0.97619;0.00000;0.61413;2.79292;AgentW@76;Atlas3@77;AgentBuyogMain@78;Group1@79;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.908;137;;12s;Yes;No;4;0.67857;0.81833;0.00000;0.13306;2.99585;Group1@80;AgentW@81;AgentBuyogMain@82;Atlas3@83;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.6785708500000001;0.8183333333333332;0.7570048124820374;0.7419388596398198;0.6785708500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.555;100;;12s;Yes;No;4;0.47269;0.96428;0.00000;0.44913;2.97044;Atlas3@84;AgentW@85;AgentBuyogMain@86;Group1@87;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.930;112;;12s;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@88;AgentW@89;Atlas3@90;Group1@91;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;127;;12s;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@92;AgentBuyogMain@93;Atlas3@94;Group1@95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
