sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
12.000;277;;12s;No;No;2;0.00000;0.00000;1.36280;1.58071;0.00000;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.622;229;;12s;Yes;No;4;0.60714;0.84506;0.00000;0.24624;2.99118;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.7250000000000001;0.813972655466302;0.8450642903160794;0.607142275;0.7250000000000001;0.813972655466302;0.8450642903160794;0.607142275;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.901;246;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.778;385;;12s;Yes;No;4;0.67917;0.79762;0.00000;0.20058;2.99432;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.977;220;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.873;366;;12s;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.239;303;;12s;Yes;No;4;0.63591;0.84524;0.00000;0.22036;3.03712;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.830;421;;12s;Yes;No;4;0.47269;0.96428;0.00000;0.44913;2.97044;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.894;436;;12s;Yes;No;4;0.66876;0.89286;0.00000;0.23337;3.05557;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.129;354;;12s;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.736;409;;12s;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.669;397;;12s;Yes;No;4;0.68524;0.85714;0.00000;0.19677;3.03723;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.717;323;;12s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.953;405;;12s;Yes;No;4;0.67917;0.79762;0.00000;0.20058;2.99432;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.906;379;;12s;Yes;No;4;0.62489;0.86583;0.00000;0.14970;2.95062;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.237;367;;12s;Yes;No;4;0.53571;0.87971;0.00000;0.37191;2.82933;AgentW@60;Group1@61;AgentBuyogMain@62;Atlas3@63;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.735;355;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Group1@64;AgentBuyogMain@65;AgentW@66;Atlas3@67;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.928;382;;12s;Yes;No;4;0.71429;0.80583;0.00000;0.12959;3.01419;Atlas3@68;AgentBuyogMain@69;AgentW@70;Group1@71;0.8058333333333333;0.7405280739267821;0.7535422029514075;0.7142851;0.8058333333333333;0.7405280739267821;0.7535422029514075;0.7142851;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.624;279;;12s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;AgentBuyogMain@72;Atlas3@73;AgentW@74;Group1@75;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.886;337;;12s;Yes;No;4;0.56763;0.91048;0.00000;0.36586;2.98323;AgentW@76;Atlas3@77;AgentBuyogMain@78;Group1@79;0.7075;0.5676324190097871;0.9104785977442654;0.7976183000000001;0.7075;0.5676324190097871;0.9104785977442654;0.7976183000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.953;355;;12s;Yes;No;4;0.66667;0.80821;0.00000;0.17386;3.03409;Group1@80;AgentW@81;AgentBuyogMain@82;Atlas3@83;0.8008333333333335;0.7583749102078432;0.8082124369340867;0.666666025;0.8008333333333335;0.7583749102078432;0.8082124369340867;0.666666025;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.449;353;;12s;Yes;No;4;0.58411;0.89888;0.00000;0.34208;2.96489;Atlas3@84;AgentW@85;AgentBuyogMain@86;Group1@87;0.7200000000000001;0.5841091575650422;0.8988752544326777;0.76190405;0.7200000000000001;0.5841091575650422;0.8988752544326777;0.76190405;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.834;397;;12s;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentBuyogMain@88;AgentW@89;Atlas3@90;Group1@91;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.975;372;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;AgentW@92;AgentBuyogMain@93;Atlas3@94;Group1@95;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
