sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
59.731;1064;;60s;Yes;No;4;0.52083;0.92715;0.08443;0.45600;2.73123;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.5208333333333333;0.6284839007487437;0.9271532351644629;0.6547613000000001;0.5208333333333333;0.6284839007487437;0.9271532351644629;0.6547613000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
32.089;625;;60s;Yes;No;4;0.39638;0.95792;0.00000;0.57518;2.88513;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.798;1108;;60s;Yes;No;4;0.51368;0.89286;0.00000;0.35572;2.95900;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.7883333333333333;0.5136752428857789;0.7641309017078076;0.8928563500000001;0.7883333333333333;0.5136752428857789;0.7641309017078076;0.8928563500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
46.623;1131;;60s;Yes;No;4;0.37187;0.95238;0.00000;0.59406;2.87205;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.685;1121;;60s;Yes;No;4;0.53571;0.87971;0.00000;0.37191;2.82933;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.881;1105;;60s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.660;1087;;60s;Yes;No;4;0.68493;0.88167;0.00000;0.16221;3.05710;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;0.8816666666666667;0.6849303286683233;0.7166903495694148;0.7738088500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.839;1355;;60s;Yes;No;4;0.66876;0.89286;0.00000;0.23337;3.05557;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
52.048;1196;;60s;Yes;No;4;0.39638;0.95792;0.00000;0.57518;2.88513;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
44.554;1096;;60s;Yes;No;4;0.66876;0.89286;0.00000;0.23337;3.05557;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.791;1318;;60s;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
38.396;979;;60s;Yes;No;4;0.67857;0.91209;0.00000;0.13753;3.09242;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
37.867;948;;60s;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
35.973;956;;60s;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.935;1316;;60s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
48.163;1137;;60s;Yes;No;4;0.46845;0.98317;0.00000;0.54725;2.82388;AgentW@60;Group1@61;AgentBuyogMain@62;Atlas3@63;0.5508333333333333;0.46845181704095673;0.9831676599530632;0.8214277999999999;0.5508333333333333;0.46845181704095673;0.9831676599530632;0.8214277999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
41.951;1017;;60s;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;Group1@64;AgentBuyogMain@65;AgentW@66;Atlas3@67;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.994;1302;;60s;Yes;No;4;0.67857;0.91209;0.00000;0.13753;3.09242;Atlas3@68;AgentBuyogMain@69;AgentW@70;Group1@71;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
42.782;1038;;60s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;AgentBuyogMain@72;Atlas3@73;AgentW@74;Group1@75;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.659;1302;;60s;Yes;No;4;0.66422;0.88716;0.00000;0.30258;2.92888;AgentW@76;Atlas3@77;AgentBuyogMain@78;Group1@79;0.7108333333333333;0.6642155685253317;0.8871625979243124;0.66666605;0.7108333333333333;0.6642155685253317;0.8871625979243124;0.66666605;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
42.942;1001;;60s;Yes;No;4;0.59667;0.89872;0.00000;0.35205;2.89067;Group1@80;AgentW@81;AgentBuyogMain@82;Atlas3@83;0.5966666666666667;0.6809978812108559;0.8987175518059385;0.71428505;0.5966666666666667;0.6809978812108559;0.8987175518059385;0.71428505;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.453;1259;;60s;Yes;No;4;0.71429;0.79050;0.00000;0.17224;2.98895;Atlas3@84;AgentW@85;AgentBuyogMain@86;Group1@87;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
43.345;1083;;60s;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@88;AgentW@89;Atlas3@90;Group1@91;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
37.853;921;;60s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;AgentW@92;AgentBuyogMain@93;Atlas3@94;Group1@95;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
