sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
59.041;457;;60s;Yes;No;4;0.63095;0.86288;0.00000;0.26596;3.00711;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.6775;0.8357762284381451;0.8628803429791334;0.6309518000000001;0.6775;0.8357762284381451;0.8628803429791334;0.6309518000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
31.225;229;;60s;Yes;No;4;0.39638;0.95792;0.00000;0.57518;2.88513;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.556;513;;60s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
31.119;327;;60s;Yes;No;4;0.42915;0.94048;0.00000;0.45089;2.91367;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.171;493;;60s;Yes;No;4;0.53571;0.87971;0.00000;0.37191;2.82933;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.828;488;;60s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.811;490;;60s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
59.734;576;;60s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
52.715;508;;60s;Yes;No;4;0.39638;0.95792;0.00000;0.57518;2.88513;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;0.6141666666666666;0.39637733322724267;0.9579191498826582;0.9166658000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
41.599;401;;60s;Yes;No;4;0.68524;0.85714;0.00000;0.19677;3.03723;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
