sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
10.903;256;;12s;Yes;No;4;0.23432;0.87220;0.00000;0.63680;2.69318;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.7533333333333333;0.23431504040467824;0.8721996818099332;0.833332525;0.7533333333333333;0.23431504040467824;0.8721996818099332;0.833332525;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.798;271;;12s;Yes;No;4;0.28991;0.88971;0.11149;0.59619;2.63212;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.7025;0.28991278566313705;0.889712629672613;0.7499992750000001;0.7025;0.28991278566313705;0.889712629672613;0.7499992750000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.785;236;;12s;Yes;No;4;0.61329;0.87833;0.00000;0.15965;2.93228;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.8783333333333334;0.7382820437475793;0.6132873899901766;0.7023803500000001;0.8783333333333334;0.7382820437475793;0.6132873899901766;0.7023803500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.455;402;;12s;Yes;No;4;0.48917;0.92857;0.00000;0.41460;2.95210;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.722;230;;12s;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.940;287;;12s;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.979;286;;12s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.840;407;;12s;Yes;No;4;0.47269;0.96428;0.00000;0.44913;2.97044;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.734;356;;12s;Yes;No;4;0.59964;0.92917;0.00000;0.24363;3.01187;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.9291666666666667;0.6497308213786102;0.5996422232313594;0.8333326000000001;0.9291666666666667;0.6497308213786102;0.5996422232313594;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.613;369;;12s;Yes;No;4;0.42646;0.86905;0.00000;0.48832;2.79455;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.6458333333333334;0.42646095099840686;0.8532111650230776;0.8690468250000001;0.6458333333333334;0.42646095099840686;0.8532111650230776;0.8690468250000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.378;397;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.183;390;;12s;Yes;No;4;0.67917;0.79762;0.00000;0.20058;2.99432;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;0.6791666666666667;0.7408336480570514;0.7767005001446213;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.982;365;;12s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.998;420;;12s;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.976;413;;12s;Yes;No;4;0.28889;0.92083;0.00000;0.57011;2.74383;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.9208333333333333;0.2888941102114142;0.6531500825475833;0.8809516;0.9208333333333333;0.2888941102114142;0.6531500825475833;0.8809516;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.591;389;;12s;Yes;No;4;0.44889;0.98840;0.00000;0.59463;2.62776;AgentW@60;Group1@61;AgentBuyogMain@62;Atlas3@63;0.5;0.44889131368935486;0.9883966566884121;0.6904755500000002;0.5;0.44889131368935486;0.9883966566884121;0.6904755500000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.268;381;;12s;Yes;No;4;0.50000;1.00000;0.00000;0.38222;2.74396;Group1@64;AgentBuyogMain@65;AgentW@66;Atlas3@67;0.6583333333333333;1.0;0.5856226065195247;0.49999960000000004;0.6583333333333333;1.0;0.5856226065195247;0.49999960000000004;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.966;398;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Atlas3@68;AgentBuyogMain@69;AgentW@70;Group1@71;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.174;357;;12s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;AgentBuyogMain@72;Atlas3@73;AgentW@74;Group1@75;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.745;362;;12s;Yes;No;4;0.50873;0.86638;0.05200;0.44754;2.73142;AgentW@76;Atlas3@77;AgentBuyogMain@78;Group1@79;0.5825;0.5087270805355503;0.866379605027095;0.77380885;0.5825;0.5087270805355503;0.866379605027095;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.953;411;;12s;Yes;No;4;0.38639;0.88340;0.00000;0.49634;2.80051;Group1@80;AgentW@81;AgentBuyogMain@82;Atlas3@83;0.745;0.38638829490198;0.8834041300172272;0.7857135500000001;0.745;0.38638829490198;0.8834041300172272;0.7857135500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.664;365;;12s;Yes;No;4;0.54476;0.86905;0.00000;0.39182;2.90919;Atlas3@84;AgentW@85;AgentBuyogMain@86;Group1@87;0.6458333333333334;0.5447643224424074;0.8495472649801583;0.8690468499999999;0.6458333333333334;0.5447643224424074;0.8495472649801583;0.8690468499999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.932;406;;12s;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@88;AgentW@89;Atlas3@90;Group1@91;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.000;390;;12s;No;No;3;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@92;AgentBuyogMain@93;Atlas3@94;Group1@95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
