sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
10.564;233;;12s;Yes;No;4;0.43736;0.89775;0.00000;0.47442;2.87368;Group1@0;Atlas3@1;AgentBuyogMain@2;AgentW@3;0.6933333333333332;0.43736273748432836;0.8977512966807125;0.8452373000000001;0.6933333333333332;0.43736273748432836;0.8977512966807125;0.8452373000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.881;253;;12s;Yes;No;4;0.60892;0.87347;0.00000;0.33810;2.95192;Atlas3@4;Group1@5;AgentBuyogMain@6;AgentW@7;0.6599999999999999;0.608923397397142;0.8734690417355335;0.8095230500000001;0.6599999999999999;0.608923397397142;0.8734690417355335;0.8095230500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.014;209;;12s;Yes;No;4;0.61329;0.87833;0.00000;0.15965;2.93228;AgentBuyogMain@8;Group1@9;Atlas3@10;AgentW@11;0.8783333333333334;0.7382820437475793;0.6132873899901766;0.7023803500000001;0.8783333333333334;0.7382820437475793;0.6132873899901766;0.7023803500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.612;397;;12s;Yes;No;4;0.31595;0.91667;0.00000;0.54548;2.79461;AgentW@12;Group1@13;Atlas3@14;AgentBuyogMain@15;0.8133333333333334;0.31595438022271666;0.7486597772923571;0.9166658500000001;0.8133333333333334;0.31595438022271666;0.7486597772923571;0.9166658500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.957;206;;12s;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;Group1@16;AgentBuyogMain@17;Atlas3@18;AgentW@19;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.892;277;;12s;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Atlas3@20;AgentBuyogMain@21;Group1@22;AgentW@23;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.993;285;;12s;Yes;No;4;0.47817;0.96250;0.00000;0.40306;2.93364;AgentBuyogMain@24;Atlas3@25;Group1@26;AgentW@27;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;0.9625;0.4781701614657966;0.6239244781765384;0.86904685;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.973;386;;12s;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;AgentW@28;Atlas3@29;Group1@30;AgentBuyogMain@31;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.930;394;;12s;Yes;No;4;0.63591;0.84524;0.00000;0.22036;3.03712;Group1@32;AgentW@33;Atlas3@34;AgentBuyogMain@35;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.160;326;;12s;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;Atlas3@36;AgentW@37;Group1@38;AgentBuyogMain@39;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.218;388;;12s;Yes;No;4;0.65877;0.87333;0.04976;0.18743;2.97094;AgentBuyogMain@40;AgentW@41;Group1@42;Atlas3@43;0.8733333333333333;0.6587701259180746;0.6769369702087853;0.7619041;0.8733333333333333;0.6587701259180746;0.6769369702087853;0.7619041;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.695;346;;12s;Yes;No;4;0.53571;0.87971;0.00000;0.37191;2.82933;AgentW@44;AgentBuyogMain@45;Group1@46;Atlas3@47;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;0.6141666666666666;0.7997389865312883;0.8797126830260701;0.5357138;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.813;331;;12s;Yes;No;4;0.45366;0.90476;0.00000;0.41353;2.92674;Group1@48;Atlas3@49;AgentW@50;AgentBuyogMain@51;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;0.8958333333333334;0.4536614957639661;0.6724889880668964;0.9047611;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.958;422;;12s;Yes;No;4;0.26694;0.98809;0.00000;0.62212;2.77464;Atlas3@52;Group1@53;AgentW@54;AgentBuyogMain@55;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.470;400;;12s;Yes;No;4;0.42915;0.94048;0.00000;0.45089;2.91367;AgentBuyogMain@56;Group1@57;AgentW@58;Atlas3@59;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.289;389;;12s;Yes;No;4;0.43241;1.00000;0.00000;0.61429;2.64610;AgentW@60;Group1@61;AgentBuyogMain@62;Atlas3@63;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.7261898;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.7261898;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.812;352;;12s;Yes;No;4;0.50000;1.00000;0.00000;0.38222;2.74396;Group1@64;AgentBuyogMain@65;AgentW@66;Atlas3@67;0.6583333333333333;1.0;0.5856226065195247;0.49999960000000004;0.6583333333333333;1.0;0.5856226065195247;0.49999960000000004;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.555;306;;12s;Yes;No;4;0.67857;0.91209;0.00000;0.13753;3.09242;Atlas3@68;AgentBuyogMain@69;AgentW@70;Group1@71;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.520;297;;12s;Yes;No;4;0.59964;0.92917;0.00000;0.24363;3.01187;AgentBuyogMain@72;Atlas3@73;AgentW@74;Group1@75;0.9291666666666667;0.6497308213786102;0.5996422232313594;0.8333326000000001;0.9291666666666667;0.6497308213786102;0.5996422232313594;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.992;400;;12s;Yes;No;4;0.54476;0.86905;0.00000;0.39182;2.90919;AgentW@76;Atlas3@77;AgentBuyogMain@78;Group1@79;0.6458333333333334;0.5447643224424074;0.8495472649801583;0.8690468499999999;0.6458333333333334;0.5447643224424074;0.8495472649801583;0.8690468499999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.966;412;;12s;Yes;No;4;0.65618;0.92412;0.00000;0.35472;2.90364;Group1@80;AgentW@81;AgentBuyogMain@82;Atlas3@83;0.6566666666666666;0.6561836413787563;0.9241237645030826;0.6666660500000001;0.6566666666666666;0.6561836413787563;0.9241237645030826;0.6666660500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
10.229;344;;12s;Yes;No;4;0.58417;0.91032;0.00000;0.37049;2.90901;Atlas3@84;AgentW@85;AgentBuyogMain@86;Group1@87;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.7499993;0.5841666666666666;0.6645211426556008;0.9103208951175262;0.7499993;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.974;397;;12s;Yes;No;4;0.58804;0.94167;0.00000;0.23543;2.99353;AgentBuyogMain@88;AgentW@89;Atlas3@90;Group1@91;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;0.9416666666666667;0.6662075599338653;0.5880388799197717;0.79761835;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.988;385;;12s;Yes;No;4;0.64286;0.92857;0.00000;0.16661;3.07408;AgentW@92;AgentBuyogMain@93;Atlas3@94;Group1@95;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;0.7849999999999999;0.9285654723948509;0.7176566046946408;0.6428566;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
